Bedrooms,Type,Price
3,terraced house,430000
1,apartment,430000
1,apartment,430000
1,flat,429999
3,semi-detached house,429950
1,ground floor flat,428500
2,flat,425000
2,apartment,425000
3,maisonette,425000
2,flat,425000
3,apartment,425000
2,flat,425000
2,apartment,425000
2,flat,425000
2,apartment,425000
2,flat,425000
3,semi-detached house,425000
2,flat,425000
1,apartment,425000
3,semi-detached house,425000
2,terraced house,425000
1,ground floor flat,425000
2,maisonette,425000
3,terraced house,425000
3,flat,425000
3,terraced house,425000
3,detached house,425000
3,semi-detached house,425000
1,flat,425000
2,semi-detached house,425000
2,terraced house,425000
2,terraced house,425000
1,flat,425000
2,block of apartments,425000
3,ground floor flat,425000
3,terraced house,425000
3,flat,425000
3,terraced house,425000
3,detached house,425000
3,semi-detached house,425000
1,flat,425000
2,semi-detached house,425000
2,terraced house,425000
2,terraced house,425000
1,flat,425000
3,maisonette,425000
1,apartment,425000
1,ground floor flat,425000
4,semi-detached bungalow,425000
3,semi-detached house,425000
4,terraced house,425000
3,flat,425000
2,maisonette,425000
3,end of terrace house,425000
3,terraced house,425000
3,apartment,425000
2,cottage,425000
3,maisonette,425000
1,apartment,425000
1,ground floor flat,425000
4,semi-detached bungalow,425000
3,semi-detached house,425000
4,terraced house,425000
2,maisonette,425000
3,terraced house,425000
2,maisonette,425000
3,terraced house,425000
3,terraced house,425000
3,semi-detached house,425000
3,semi-detached bungalow,425000
3,terraced house,425000
3,flat,425000
2,flat,425000
1,flat,425000
2,end of terrace house,425000
2,apartment,425000
3,semi-detached house,425000
1,ground floor flat,425000
3,apartment,425000
2,end of terrace house,425000
2,flat,425000
1,apartment,425000
2,flat,425000
1,maisonette,425000
2,semi-detached house,425000
1,flat,425000
1,flat,425000
2,end of terrace house,425000
2,apartment,425000
3,semi-detached house,425000
1,ground floor flat,425000
2,end of terrace house,425000
3,apartment,425000
2,flat,425000
1,apartment,425000
4,terraced house,425000
1,apartment,425000
3,terraced house,425000
3,terraced house,425000
3,end of terrace house,425000
1,apartment,425000
2,apartment,425000
2,apartment,425000
2,maisonette,425000
2,ground floor flat,425000
4,town house,425000
3,semi-detached house,425000
3,terraced house,425000
4,terraced house,425000
1,apartment,425000
3,terraced house,425000
3,terraced house,425000
3,end of terrace house,425000
1,apartment,425000
2,apartment,425000
2,apartment,425000
2,maisonette,425000
2,ground floor flat,425000
3,end of terrace house,425000
2,apartment,425000
3,flat,425000
2,apartment,425000
1,flat,425000
2,terraced house,425000
2,apartment,425000
2,flat,425000
3,semi-detached house,425000
2,flat,425000
2,semi-detached house,425000
1,flat,424750
3,maisonette,420000
1,apartment,420000
3,terraced house,420000
3,terraced house,420000
2,flat,420000
3,terraced house,415000
2,apartment,415000
1,apartment,415000
3,terraced house,415000
5,end of terrace house,415000
1,flat,415000
3,terraced house,415000
3,terraced house,415000
2,ground floor maisonette,415000
2,flat,415000
1,flat,415000
2,flat,415000
2,end of terrace house,415000
3,terraced house,415000
2,apartment,415000
1,apartment,415000
3,terraced house,415000
5,end of terrace house,415000
1,flat,415000
3,terraced house,415000
3,terraced house,415000
2,ground floor maisonette,415000
2,flat,415000
3,semi-detached house,415000
3,terraced house,415000
2,flat,415000
2,flat,415000
2,apartment,410000
3,semi-detached house,410000
1,flat,410000
3,terraced house,410000
3,semi-detached house,410000
2,apartment,410000
2,end of terrace house,410000
2,apartment,410000
2,apartment,410000
2,apartment,410000
2,end of terrace house,410000
4,flat,405000
3,terraced house,405000
2,ground floor flat,400000
3,end of terrace house,400000
2,semi-detached house,400000
2,apartment,400000
1,flat,400000
3,end of terrace house,400000
2,ground floor maisonette,400000
3,terraced house,400000
3,semi-detached house,400000
3,terraced house,400000
2,flat,400000
2,duplex,400000
2,flat,400000
2,ground floor flat,400000
3,end of terrace house,400000
2,semi-detached house,400000
2,apartment,400000
1,flat,400000
3,end of terrace house,400000
2,ground floor maisonette,400000
1,flat,400000
2,ground floor maisonette,400000
1,flat,400000
2,terraced house,400000
3,semi-detached house,400000
2,terraced house,400000
3,chalet,400000
1,flat,400000
3,apartment,400000
3,apartment,400000
2,flat,400000
2,ground floor flat,400000
2,maisonette,400000
1,flat,400000
1,flat,400000
2,terraced house,400000
2,ground floor maisonette,400000
3,semi-detached house,400000
2,terraced house,400000
3,chalet,400000
2,flat,400000
3,semi-detached house,400000
2,terraced house,400000
3,semi-detached house,400000
3,flat,400000
3,semi-detached house,400000
3,semi-detached house,400000
2,flat,400000
3,terraced house,400000
1,terraced house,400000
3,end of terrace house,400000
3,maisonette,400000
3,terraced house,400000
2,flat,400000
3,semi-detached house,400000
2,terraced house,400000
3,semi-detached house,400000
3,semi-detached house,400000
3,flat,400000
3,semi-detached house,400000
3,semi-detached house,400000
2,flat,400000
2,terraced house,400000
2,apartment,400000
2,flat,400000
3,detached bungalow,400000
3,terraced house,400000
2,apartment,400000
1,maisonette,400000
3,flat,400000
1,apartment,400000
2,semi-detached house,400000
2,terraced house,400000
2,flat,400000
2,apartment,400000
1,maisonette,400000
3,flat,400000
3,semi-detached house,400000
2,apartment,400000
2,terraced house,400000
2,apartment,400000
1,maisonette,400000
3,flat,400000
4,terraced house,400000
1,flat,400000
3,flat,400000
3,terraced house,400000
3,end of terrace house,400000
2,flat,400000
2,flat,400000
2,end of terrace house,400000
3,semi-detached house,400000
2,flat,400000
2,town house,400000
2,semi-detached house,400000
2,apartment,400000
4,terraced house,400000
3,town house,400000
2,maisonette,400000
2,apartment,400000
3,apartment,400000
2,flat,400000
1,apartment,400000
2,end of terrace house,400000
3,semi-detached house,400000
2,flat,400000
2,town house,400000
2,semi-detached house,400000
2,apartment,400000
4,terraced house,400000
2,penthouse,399000
1,apartment,399000
1,apartment,399000
4,semi-detached house,399000
2,flat,395500
3,end of terrace house,395000
1,flat,395000
1,flat,395000
1,flat,395000
2,flat,395000
2,flat,395000
2,apartment,395000
2,flat,395000
2,flat,395000
3,flat,395000
2,flat,392000
2,apartment,390000
3,end of terrace house,390000
2,apartment,390000
3,terraced house,390000
2,flat,390000
2,ground floor flat,390000
3,town house,390000
2,terraced house,390000
2,flat,390000
2,apartment,390000
3,terraced house,390000
4,semi-detached house,390000
2,end of terrace house,390000
2,flat,390000
2,terraced house,390000
2,apartment,389995
1,apartment,389500
1,flat,389000
1,flat,389000
2,apartment,385000
2,terraced house,385000
1,apartment,385000
2,end of terrace house,385000
2,semi-detached house,385000
4,semi-detached house,390000
2,end of terrace house,390000
2,flat,390000
2,terraced house,390000
2,apartment,389995
1,apartment,389500
1,flat,389000
1,flat,389000
2,apartment,385000
2,terraced house,385000
1,apartment,385000
2,end of terrace house,385000
3,semi-detached house,385000
3,semi-detached house,385000
1,flat,385000
2,semi-detached house,385000
3,semi-detached house,385000
2,apartment,385000
4,semi-detached house,385000
3,town house,385000
2,apartment,380000
3,terraced house,380000
3,semi-detached house,380000
3,end of terrace house,380000
1,flat,380000
2,apartment,380000
2,apartment,380000
3,end of terrace house,380000
2,flat,380000
2,flat,380000
3,semi-detached house,379995
2,apartment,375000
2,terraced house,375000
2,flat,375000
1,flat,375000
1,apartment,375000
2,apartment,375000
2,terraced house,375000
1,flat,375000
2,semi-detached house,375000
2,ground floor maisonette,375000
2,apartment,375000
2,apartment,375000
1,flat,375000
3,end of terrace house,375000
2,flat,375000
2,terraced house,375000
2,detached house,375000
1,flat,375000
2,apartment,375000
1,maisonette,375000
2,flat,375000
3,flat,375000
2,terraced house,375000
2,apartment,375000
2,apartment,375000
3,end of terrace house,375000
1,maisonette,375000
2,apartment,375000
2,apartment,375000
2,flat,375000
2,flat,375000
2,apartment,375000
1,flat,375000
3,detached house,375000
2,flat,375000
3,terraced house,375000
2,terraced house,375000
2,semi-detached house,375000
2,flat,375000
3,end of terrace house,375000
2,apartment,375000
2,apartment,375000
2,flat,375000
2,flat,375000
2,apartment,375000
1,flat,375000
3,detached house,375000
2,flat,375000
3,terraced house,375000
2,terraced house,375000
2,semi-detached house,375000
2,flat,375000
1,flat,375000
2,flat,375000
2,apartment,375000
3,terraced house,375000
2,semi-detached house,375000
2,flat,375000
3,terraced house,375000
2,flat,375000
3,semi-detached house,375000
2,flat,375000
2,flat,375000
2,apartment,375000
2,apartment,375000
3,terraced house,375000
3,maisonette,375000
2,flat,375000
3,end of terrace house,375000
1,apartment,375000
1,flat,375000
2,maisonette,375000
3,semi-detached house,375000
2,apartment,375000
3,semi-detached house,375000
1,apartment,375000
2,flat,375000
2,apartment,375000
3,terraced house,375000
3,terraced house,375000
2,flat,375000
2,apartment,375000
2,apartment,375000
2,apartment,375000
2,apartment,375000
3,ground floor flat,375000
3,terraced house,375000
2,flat,375000
2,apartment,375000
2,end of terrace house,375000
4,flat,375000
3,semi-detached house,375000
2,maisonette,375000
2,flat,375000
1,apartment,375000
3,terraced house,375000
2,apartment,375000
2,apartment,375000
3,terraced house,375000
1,flat,375000
2,apartment,375000
1,apartment,375000
4,apartment,375000
1,apartment,375000
1,detached bungalow,375000
2,flat,375000
2,terraced house,375000
2,flat,375000
2,flat,375000
2,apartment,375000
2,apartment,375000
3,terraced house,375000
1,flat,375000
2,apartment,375000
1,apartment,375000
4,apartment,375000
1,apartment,375000
2,flat,375000
1,detached bungalow,375000
2,flat,370000
3,flat,370000
1,ground floor flat,365000
2,terraced house,365000
1,ground floor flat,365000
2,flat,365000
3,terraced house,365000
2,flat,365000
2,bungalow,365000
2,flat,365000
3,terraced house,365000
2,flat,365000
1,flat,365000
1,apartment,365000
2,end of terrace house,365000
2,apartment,365000
2,flat,365000
3,terraced house,365000
1,flat,365000
1,flat,365000
2,apartment,365000
1,ground floor flat,365000
1,apartment,365000
2,terraced house,365000
1,apartment,365000
2,apartment,365000
3,terraced house,365000
2,ground floor maisonette,365000
1,ground floor flat,365000
1,apartment,365000
3,terraced house,365000
1,flat,365000
1,flat,365000
2,apartment,365000
1,ground floor flat,365000
1,apartment,365000
2,terraced house,365000
1,apartment,365000
2,apartment,365000
3,terraced house,365000
2,ground floor maisonette,365000
1,apartment,365000
1,ground floor flat,365000
2,apartment,360000
3,semi-detached house,360000
3,semi-detached house,360000
4,chalet,360000
2,terraced house,360000
2,apartment,360000
2,apartment,360000
1,bungalow,359000
3,flat,357500
3,maisonette,355000
2,end of terrace house,355000
1,apartment,355000
3,terraced house,355000
2,apartment,355000
2,semi-detached house,355000
2,maisonette,350000
2,flat,350000
3,semi-detached house,350000
2,apartment,350000
2,flat,350000
2,terraced house,350000
1,flat,350000
2,flat,350000
2,flat,350000
2,detached house,350000
3,terraced house,350000
2,apartment,350000
2,semi-detached house,355000
2,maisonette,350000
2,flat,350000
3,semi-detached house,350000
2,apartment,350000
2,flat,350000
1,flat,350000
2,terraced house,350000
2,flat,350000
2,flat,350000
2,detached house,350000
3,terraced house,350000
2,apartment,350000
3,semi-detached house,350000
3,terraced house,350000
2,semi-detached house,350000
2,flat,350000
2,ground floor flat,350000
2,flat,350000
2,apartment,350000
3,terraced house,350000
1,flat,350000
3,end of terrace house,350000
1,apartment,350000
3,flat,350000
2,end of terrace house,350000
3,end of terrace house,350000
1,flat,350000
3,end of terrace house,350000
3,terraced house,350000
1,apartment,350000
3,terraced house,350000
3,apartment,350000
3,end of terrace house,350000
2,flat,350000
1,flat,350000
1,apartment,350000
2,apartment,350000
2,apartment,350000
2,flat,350000
2,apartment,350000
3,terraced house,350000
1,flat,350000
3,terraced house,350000
2,flat,350000
3,terraced house,350000
1,flat,350000
1,ground floor flat,350000
2,ground floor flat,350000
2,flat,350000
2,apartment,350000
2,apartment,350000
2,flat,350000
3,terraced house,350000
2,apartment,350000
1,flat,350000
3,terraced house,350000
2,flat,350000
3,terraced house,350000
1,flat,350000
1,ground floor flat,350000
2,ground floor flat,350000
2,flat,350000
3,semi-detached house,350000
1,apartment,350000
2,flat,350000
1,maisonette,350000
2,ground floor flat,350000
1,flat,350000
2,terraced house,350000
2,maisonette,350000
2,maisonette,350000
4,end of terrace house,350000
3,end of terrace house,350000
1,flat,350000
2,apartment,350000
3,terraced house,350000
2,maisonette,350000
2,end of terrace house,350000
2,flat,350000
2,ground floor flat,350000
1,flat,350000
3,semi-detached house,350000
2,flat,350000
2,flat,350000
1,apartment,350000
1,flat,350000
1,apartment,350000
2,flat,350000
2,apartment,350000
2,flat,350000
2,flat,350000
1,apartment,350000
1,ground floor flat,350000
2,terraced house,350000
2,apartment,350000
1,flat,350000
3,terraced house,350000
2,ground floor flat,350000
2,apartment,350000
1,apartment,350000
3,ground floor flat,350000
1,flat,350000
3,terraced house,350000
2,maisonette,350000
2,ground floor flat,350000
1,apartment,350000
1,flat,350000
1,flat,350000
3,semi-detached house,350000
1,ground floor flat,350000
3,terraced house,350000
3,end of terrace house,350000
1,ground floor flat,350000
2,apartment,349950
1,apartment,349950
2,semi-detached house,349000
1,ground floor maisonette,345000
1,flat,345000
2,flat,345000
2,terraced house,345000
1,flat,345000
2,apartment,345000
3,terraced house,345000
1,apartment,345000
3,terraced house,345000
2,maisonette,344950
1,flat,340000
2,maisonette,340000
2,end of terrace house,340000
1,ground floor maisonette,345000
1,flat,345000
2,flat,345000
2,terraced house,345000
1,flat,345000
2,apartment,345000
3,terraced house,345000
1,apartment,345000
3,terraced house,345000
2,maisonette,344950
2,flat,340000
2,maisonette,340000
1,apartment,340000
2,end of terrace house,340000
2,semi-detached house,340000
3,end of terrace house,340000
2,flat,340000
2,terraced house,340000
2,terraced house,340000
1,flat,340000
1,apartment,340000
3,end of terrace house,340000
1,flat,340000
2,flat,340000
2,maisonette,340000
1,apartment,340000
2,end of terrace house,340000
2,semi-detached house,340000
3,end of terrace house,340000
2,flat,340000
2,terraced house,340000
2,terraced house,340000
1,flat,340000
1,apartment,340000
2,flat,340000
1,apartment,340000
2,ground floor flat,340000
2,apartment,340000
2,flat,340000
2,apartment,339950
2,terraced house,339500
1,flat,338000
2,flat,337500
2,terraced house,335000
2,maisonette,335000
1,apartment,335000
1,ground floor flat,335000
2,flat,335000
2,maisonette,335000
2,terraced house,335000
1,flat,335000
1,apartment,335000
2,end of terrace house,335000
1,apartment,335000
2,ground floor flat,335000
1,apartment,335000
2,ground floor flat,335000
2,ground floor flat,335000
1,apartment,335000
2,apartment,335000
2,apartment,335000
2,apartment,332000
2,apartment,330000
2,flat,330000
2,apartment,330000
2,terraced house,330000
2,terraced house,330000
1,flat,330000
2,terraced house,330000
1,apartment,330000
2,flat,325000
2,maisonette,325000
2,penthouse,325000
1,flat,325000
2,apartment,325000
2,ground floor flat,325000
1,apartment,325000
2,maisonette,325000
3,terraced house,325000
2,flat,325000
1,apartment,325000
1,studio flat,325000
2,flat,325000
2,flat,325000
2,maisonette,325000
2,penthouse,325000
1,flat,325000
2,apartment,325000
2,ground floor flat,325000
1,apartment,325000
2,maisonette,325000
3,terraced house,325000
2,flat,325000
3,end of terrace house,325000
2,end of terrace house,325000
3,terraced house,325000
2,ground floor flat,325000
2,apartment,325000
3,duplex,325000
1,flat,325000
2,ground floor maisonette,325000
2,apartment,325000
3,terraced house,325000
1,flat,325000
2,flat,325000
1,flat,325000
2,ground floor maisonette,325000
1,apartment,325000
1,flat,325000
1,flat,325000
2,apartment,325000
2,apartment,325000
2,ground floor maisonette,325000
2,apartment,325000
3,terraced house,325000
1,flat,325000
1,flat,325000
2,flat,325000
1,flat,325000
2,ground floor maisonette,325000
2,apartment,325000
2,ground floor maisonette,325000
1,apartment,325000
1,ground floor flat,325000
2,apartment,325000
1,ground floor flat,325000
4,end of terrace house,325000
3,link detached house,325000
2,flat,325000
1,flat,325000
2,terraced house,325000
1,apartment,325000
2,flat,325000
1,penthouse,325000
1,flat,325000
1,flat,325000
2,flat,325000
1,apartment,325000
2,flat,325000
2,flat,325000
3,terraced house,325000
2,terraced house,325000
1,semi-detached house,325000
1,flat,325000
1,flat,325000
2,ground floor flat,325000
2,maisonette,325000
1,flat,325000
1,flat,325000
3,duplex,325000
2,flat,325000
1,apartment,325000
2,flat,325000
3,terraced house,325000
2,terraced house,325000
1,semi-detached house,325000
1,flat,325000
1,flat,325000
2,ground floor flat,325000
2,maisonette,325000
1,ground floor flat,325000
2,flat,325000
3,maisonette,325000
2,apartment,325000
2,apartment,325000
2,ground floor maisonette,325000
2,flat,325000
1,apartment,325000
1,apartment,325000
2,terraced house,325000
2,apartment,325000
2,flat,325000
4,terraced house,325000
2,apartment,325000
1,apartment,325000
1,ground floor flat,325000
2,flat,325000
2,apartment,325000
2,ground floor maisonette,325000
2,flat,325000
3,semi-detached house,320000
3,end of terrace house,320000
1,apartment,320000
2,flat,320000
3,semi-detached house,320000
2,apartment,320000
2,flat,320000
3,flat,320000
1,flat,320000
2,terraced house,320000
3,ground floor maisonette,320000
1,apartment,320000
3,terraced house,320000
2,flat,320000
1,flat,319999
1,retirement property,319950
1,apartment,319500
1,apartment,317500
2,apartment,317500
2,maisonette,317000
3,flat,320000
1,flat,320000
2,terraced house,320000
3,ground floor maisonette,320000
1,apartment,320000
3,terraced house,320000
2,flat,320000
1,flat,319999
1,retirement property,319950
1,apartment,319500
1,apartment,317500
2,apartment,317500
2,maisonette,317000
1,apartment,315500
2,flat,315000
2,ground floor maisonette,315000
2,apartment,315000
3,town house,315000
2,flat,315000
1,apartment,315000
1,apartment,315000
1,flat,315000
2,apartment,315000
2,apartment,315000
1,apartment,315000
1,apartment,315000
1,flat,315000
1,apartment,315000
2,terraced house,315000
2,apartment,315000
1,flat,315000
2,flat,315000
1,flat,315000
2,semi-detached house,315000
2,apartment,315000
1,apartment,315000
2,terraced house,315000
2,terraced house,315000
2,apartment,315000
2,flat,315000
3,terraced house,315000
2,apartment,315000
2,flat,315000
1,flat,315000
1,flat,315000
2,flat,315000
2,semi-detached house,315000
2,apartment,315000
2,terraced house,315000
1,apartment,315000
3,semi-detached house,310000
2,terraced house,310000
2,maisonette,310000
3,semi-detached house,310000
2,duplex,310000
2,ground floor flat,310000
3,flat,310000
1,flat,310000
2,flat,310000
3,flat,310000
2,coach house,305000
1,apartment,305000
2,end of terrace house,305000
2,apartment,305000
1,apartment,305000
1,apartment,305000
2,flat,305000
2,flat,300000
1,ground floor flat,300000
2,terraced house,300000
1,maisonette,300000
1,apartment,300000
2,flat,300000
4,terraced house,300000
2,apartment,300000
2,flat,300000
1,studio flat,300000
1,flat,300000
1,apartment,300000
2,terraced house,300000
2,flat,300000
1,ground floor flat,300000
2,terraced house,300000
1,maisonette,300000
1,apartment,300000
2,flat,300000
4,terraced house,300000
2,apartment,300000
2,flat,300000
1,studio flat,300000
1,apartment,300000
2,maisonette,300000
1,terraced house,300000
2,flat,300000
1,apartment,300000
1,flat,300000
1,flat,300000
2,apartment,300000
1,flat,300000
2,terraced house,300000
2,semi-detached house,300000
2,terraced house,300000
3,flat,300000
1,apartment,300000
2,maisonette,300000
1,terraced house,300000
2,flat,300000
1,apartment,300000
1,flat,300000
1,flat,300000
2,flat,300000
2,apartment,300000
2,apartment,300000
1,flat,300000
1,flat,300000
2,terraced house,300000
2,terraced house,300000
2,flat,300000
2,maisonette,300000
2,flat,300000
2,duplex,300000
2,flat,300000
2,apartment,300000
2,end of terrace house,300000
3,flat,300000
2,flat,300000
1,flat,300000
2,maisonette,300000
2,flat,300000
3,semi-detached house,300000
2,flat,300000
2,maisonette,300000
2,flat,300000
2,duplex,300000
2,flat,300000
2,apartment,300000
2,end of terrace house,300000
3,flat,300000
2,flat,300000
1,flat,300000
2,maisonette,300000
2,flat,300000
3,semi-detached house,300000
2,flat,300000
1,flat,300000
2,apartment,300000
2,flat,300000
2,maisonette,300000
2,flat,300000
2,ground floor maisonette,300000
2,ground floor flat,300000
1,flat,300000
2,apartment,300000
1,flat,300000
2,flat,300000
1,apartment,300000
2,flat,300000
2,ground floor maisonette,300000
2,flat,300000
2,flat,300000
2,maisonette,300000
3,maisonette,300000
3,detached house,300000
2,maisonette,300000
1,apartment,300000
2,ground floor flat,300000
1,flat,300000
1,apartment,300000
3,apartment,300000
2,maisonette,300000
3,end of terrace house,300000
2,flat,300000
3,semi-detached house,300000
2,apartment,299999
2,terraced house,299900
2,flat,299500
2,apartment,299000
2,ground floor maisonette,299000
1,apartment,296000
2,ground floor maisonette,295000
3,terraced house,295000
1,apartment,295000
3,maisonette,295000
3,terraced house,295000
1,flat,295000
1,maisonette,295000
2,apartment,295000
2,terraced house,295000
1,apartment,290000
2,apartment,290000
1,apartment,296000
2,ground floor maisonette,295000
3,terraced house,295000
1,apartment,295000
3,maisonette,295000
3,terraced house,295000
2,semi-detached house,295000
1,flat,295000
1,maisonette,295000
2,apartment,295000
2,flat,290000
3,semi-detached house,290000
1,flat,290000
2,maisonette,290000
3,end of terrace house,290000
1,flat,290000
1,terraced house,290000
1,apartment,290000
1,ground floor flat,290000
3,maisonette,290000
2,terraced house,290000
1,flat,290000
2,flat,290000
2,flat,290000
3,semi-detached house,290000
1,flat,290000
2,maisonette,290000
3,end of terrace house,290000
1,flat,290000
1,terraced house,290000
1,apartment,290000
1,ground floor flat,290000
3,maisonette,290000
2,apartment,290000
1,flat,290000
2,ground floor flat,290000
2,apartment,290000
1,flat,290000
2,maisonette,290000
2,flat,290000
2,maisonette,290000
2,apartment,290000
2,flat,290000
2,apartment,290000
1,end of terrace house,290000
2,apartment,290000
3,maisonette,290000
2,flat,290000
2,flat,290000
2,apartment,290000
1,flat,290000
2,flat,290000
3,terraced house,290000
1,apartment,290000
2,maisonette,290000
2,apartment,290000
2,flat,290000
2,apartment,290000
1,end of terrace house,290000
2,apartment,290000
3,maisonette,290000
2,flat,290000
2,flat,290000
2,apartment,290000
1,ground floor flat,290000
1,flat,290000
1,flat,290000
3,terraced house,290000
2,flat,287900
2,apartment,285000
2,end of terrace house,285000
1,ground floor flat,285000
2,flat,285000
2,apartment,285000
1,apartment,285000
2,flat,285000
2,apartment,282500
1,apartment,280000
2,apartment,280000
2,flat,280000
1,flat,285000
2,ground floor maisonette,285000
1,flat,285000
2,flat,285000
2,end of terrace house,285000
1,ground floor flat,285000
2,flat,285000
2,apartment,285000
1,apartment,285000
2,flat,285000
2,apartment,280000
3,semi-detached house,280000
3,flat,280000
1,ground floor flat,280000
3,terraced house,280000
2,terraced house,280000
2,flat,280000
3,flat,280000
1,flat,280000
2,ground floor maisonette,280000
2,terraced house,280000
2,flat,280000
1,flat,280000
3,flat,280000
2,apartment,280000
3,semi-detached house,280000
3,flat,280000
1,ground floor flat,280000
3,terraced house,280000
2,terraced house,280000
2,flat,280000
3,flat,280000
1,flat,280000
2,ground floor maisonette,280000
2,flat,280000
2,flat,280000
2,apartment,280000
2,ground floor maisonette,280000
2,flat,280000
2,apartment,280000
2,terraced house,280000
1,flat,280000
1,flat,280000
2,flat,280000
2,apartment,280000
1,end of terrace house,280000
1,flat,280000
2,semi-detached bungalow,280000
3,maisonette,280000
2,flat,280000
1,maisonette,275000
2,flat,275000
2,apartment,275000
2,maisonette,275000
2,flat,275000
1,flat,275000
1,ground floor flat,275000
1,flat,275000
2,flat,275000
2,apartment,275000
1,terraced house,275000
2,flat,275000
2,flat,275000
2,terraced house,275000
1,maisonette,275000
2,flat,275000
2,apartment,275000
2,maisonette,275000
2,flat,275000
1,flat,275000
1,ground floor flat,275000
1,flat,275000
2,flat,275000
2,apartment,275000
2,duplex,275000
3,end of terrace house,275000
2,flat,275000
1,flat,275000
1,flat,275000
2,terraced house,275000
2,apartment,275000
1,apartment,275000
1,ground floor maisonette,270000
2,terraced house,270000
2,terraced house,270000
2,flat,270000
2,ground floor maisonette,270000
3,terraced house,270000
2,apartment,270000
2,maisonette,270000
2,apartment,270000
1,apartment,270000
2,apartment,270000
3,terraced house,270000
1,flat,270000
1,flat,270000
1,flat,270000
2,terraced house,270000
2,ground floor flat,270000
2,flat,269995
1,flat,270000
2,terraced house,270000
1,flat,270000
2,end of terrace house,270000
2,apartment,270000
1,apartment,270000
2,apartment,270000
1,flat,270000
3,terraced house,270000
1,flat,270000
1,flat,270000
2,terraced house,270000
2,ground floor flat,270000
2,flat,269995
2,apartment,269950
1,apartment,269000
1,flat,269000
2,apartment,268000
3,duplex,267500
1,end of terrace house,265000
2,flat,265000
2,apartment,265000
2,duplex,265000
1,flat,264600
2,flat,260000
1,apartment,260000
1,flat,260000
1,apartment,260000
3,maisonette,260000
2,flat,260000
2,flat,265000
2,terraced house,265000
2,flat,265000
1,ground floor maisonette,265000
2,flat,265000
2,apartment,265000
2,duplex,265000
1,flat,264600
2,flat,260000
1,apartment,260000
1,flat,260000
1,apartment,260000
3,maisonette,260000
2,flat,260000
2,flat,260000
1,apartment,260000
2,flat,260000
2,coach house,260000
1,ground floor flat,260000
2,ground floor flat,260000
1,apartment,260000
1,maisonette,260000
2,apartment,260000
1,flat,260000
2,flat,260000
1,apartment,260000
1,flat,260000
1,flat,260000
2,flat,260000
2,apartment,260000
3,apartment,260000
1,apartment,259950
1,flat,259750
2,flat,259000
2,maisonette,255000
2,flat,255000
1,ground floor maisonette,255000
2,end of terrace house,255000
1,apartment,255000
2,flat,255000
2,maisonette,252000
2,apartment,250000
2,flat,250000
2,apartment,250000
2,flat,250000
1,apartment,250000
2,flat,250000
1,apartment,250000
1,flat,250000
1,flat,250000
1,apartment,250000
1,flat,250000
3,terraced house,250000
1,apartment,250000
1,studio flat,250000
1,terraced house,250000
1,flat,250000
3,maisonette,250000
3,flat,250000
1,flat,250000
2,flat,250000
1,apartment,250000
1,flat,250000
1,flat,250000
1,apartment,250000
1,flat,250000
3,terraced house,250000
1,apartment,250000
1,studio flat,250000
1,terraced house,250000
1,flat,250000
3,maisonette,250000
3,flat,250000
1,flat,250000
3,maisonette,250000
1,ground floor flat,250000
2,flat,250000
2,maisonette,250000
1,flat,250000
2,apartment,250000
1,terraced house,250000
2,apartment,250000
1,ground floor maisonette,250000
2,flat,250000
2,maisonette,250000
2,flat,250000
2,apartment,250000
2,flat,250000
2,ground floor maisonette,250000
2,detached house,250000
1,apartment,250000
1,apartment,250000
2,flat,250000
2,flat,249950
1,flat,249950
2,maisonette,248000
1,apartment,245000
1,flat,245000
2,maisonette,245000
2,ground floor flat,245000
2,apartment,250000
1,ground floor flat,250000
1,flat,250000
1,end of terrace house,250000
1,apartment,250000
1,apartment,250000
2,flat,250000
2,flat,249950
1,flat,249950
2,maisonette,248000
2,flat,240000
1,flat,240000
1,apartment,240000
1,flat,240000
2,flat,240000
1,flat,240000
2,apartment,240000
2,flat,240000
1,maisonette,240000
2,flat,240000
1,apartment,240000
2,apartment,240000
1,apartment,240000
2,flat,240000
1,flat,240000
1,retirement property,240000
1,retirement property,240000
1,apartment,240000
1,terraced house,240000
1,apartment,240000
2,ground floor flat,240000
2,apartment,240000
2,apartment,240000
2,apartment,240000
1,apartment,240000
1,ground floor maisonette,240000
1,flat,240000
3,ground floor flat,240000
1,flat,240000
2,flat,240000
2,flat,240000
2,flat,240000
1,flat,240000
2,terraced house,240000
2,apartment,240000
1,flat,240000
1,flat,240000
2,apartment,240000
2,ground floor flat,238000
2,apartment,235000
1,apartment,240000
1,flat,240000
3,ground floor flat,240000
1,flat,240000
2,flat,240000
2,flat,240000
2,flat,240000
1,flat,240000
2,terraced house,240000
2,apartment,240000
1,flat,234990
2,apartment,232500
2,flat,230000
1,flat,230000
1,flat,230000
1,maisonette,230000
2,apartment,230000
1,flat,230000
1,ground floor flat,230000
1,flat,230000
1,flat,235000
2,ground floor flat,235000
2,ground floor flat,235000
1,flat,235000
1,flat,235000
1,flat,234990
2,apartment,232500
2,flat,230000
1,flat,230000
1,flat,230000
1,maisonette,230000
2,apartment,230000
1,flat,230000
1,ground floor flat,230000
1,flat,230000
2,apartment,230000
1,apartment,230000
3,detached house,230000
2,retirement property,230000
2,flat,230000
1,apartment,230000
1,apartment,230000
2,flat,230000
3,terraced house,230000
